# theta_large_nu_exact_ou.log -- receipts (2026-07-14, log #23)
# [coarse pass]
theta_G(band[1,4]) = +0.8119 +/- 0.0000  (E_G[I]=+4.4501e-03, E_G[W1]=5.4808e-03)  [M=200k, jackknife/40 batches]
[anchor] nu=0.05   seed=10 N=64 dt=2.00e-03 n=1600 blocks=16 | E[I]=+1.5491e+00 E[W1]=1.9614e+00 | theta=+0.7898 CI95=[+0.7870,+0.7936] | z_I=+1.5 z_W1=+1.5
# [grid + refinement]
  [grid] nu=0.5    seed=0 N=64 dt=2.00e-03 n=20000 blocks=400 | E[I]=+1.7768e-02 E[W1]=2.1907e-02 | theta=+0.8111 CI95=[+0.8107,+0.8114] | z_I=-0.0 z_W1=-0.0 | wall=136s
  [grid] nu=0.5    seed=1 N=64 dt=2.00e-03 n=20000 blocks=400 | E[I]=+1.7631e-02 E[W1]=2.1735e-02 | theta=+0.8112 CI95=[+0.8109,+0.8115] | z_I=+0.7 z_W1=+0.7 | wall=125s
  [grid] nu=1      seed=0 N=64 dt=2.00e-03 n=20000 blocks=400 | E[I]=+4.4807e-03 E[W1]=5.5175e-03 | theta=+0.8121 CI95=[+0.8117,+0.8124] | z_I=+0.0 z_W1=+0.0 | wall=58s
  [grid] nu=1      seed=1 N=64 dt=2.00e-03 n=20000 blocks=400 | E[I]=+4.3268e-03 E[W1]=5.3298e-03 | theta=+0.8118 CI95=[+0.8115,+0.8121] | z_I=-1.1 z_W1=-1.1 | wall=61s
  [grid] nu=2      seed=0 N=64 dt=1.56e-03 n=20000 blocks=400 | E[I]=+1.1097e-03 E[W1]=1.3662e-03 | theta=+0.8123 CI95=[+0.8119,+0.8126] | z_I=+0.2 z_W1=+0.2 | wall=46s
  [grid] nu=2      seed=1 N=64 dt=1.56e-03 n=20000 blocks=400 | E[I]=+1.1097e-03 E[W1]=1.3665e-03 | theta=+0.8121 CI95=[+0.8118,+0.8125] | z_I=-0.9 z_W1=-0.9 | wall=42s
  [grid] nu=5      seed=0 N=64 dt=6.25e-04 n=20000 blocks=400 | E[I]=+1.7747e-04 E[W1]=2.1849e-04 | theta=+0.8123 CI95=[+0.8119,+0.8126] | z_I=+0.2 z_W1=+0.2 | wall=39s
  [grid] nu=5      seed=1 N=64 dt=6.25e-04 n=20000 blocks=400 | E[I]=+1.7757e-04 E[W1]=2.1864e-04 | theta=+0.8121 CI95=[+0.8118,+0.8125] | z_I=-0.9 z_W1=-0.9 | wall=41s
  [grid] nu=10     seed=0 N=64 dt=3.13e-04 n=20000 blocks=400 | E[I]=+4.4364e-05 E[W1]=5.4616e-05 | theta=+0.8123 CI95=[+0.8119,+0.8126] | z_I=+0.2 z_W1=+0.2 | wall=38s
  [grid] nu=10     seed=1 N=64 dt=3.13e-04 n=20000 blocks=400 | E[I]=+4.4392e-05 E[W1]=5.4660e-05 | theta=+0.8121 CI95=[+0.8118,+0.8125] | z_I=-0.9 z_W1=-0.9 | wall=37s
  [grid] nu=20     seed=0 N=64 dt=1.56e-04 n=20000 blocks=400 | E[I]=+1.1091e-05 E[W1]=1.3654e-05 | theta=+0.8123 CI95=[+0.8119,+0.8126] | z_I=+0.2 z_W1=+0.2 | wall=37s
  [grid] nu=20     seed=1 N=64 dt=1.56e-04 n=20000 blocks=400 | E[I]=+1.1098e-05 E[W1]=1.3665e-05 | theta=+0.8121 CI95=[+0.8118,+0.8125] | z_I=-0.9 z_W1=-0.9 | wall=41s
[5] dt-REFINEMENT RECEIPT nu=10 (dt/5) + repo-EM-noise comparison (quantifies the banked-run bias):
  [dt/5] nu=10     seed=0 N=64 dt=6.25e-05 n=20000 blocks=400 | E[I]=+4.4660e-05 E[W1]=5.4998e-05 | theta=+0.8120 CI95=[+0.8117,+0.8124] | z_I=+0.5 z_W1=+0.5 | wall=208s
  [repo-EM dt=1e-3] nu=10     seed=0 N=64 dt=1.00e-03 n=20000 blocks=400 | E[I]=+4.8409e-05 E[W1]=5.9632e-05 | theta=+0.8118 CI95=[+0.8115,+0.8121] | z_I=+0.0 z_W1=+0.0 | wall=14s
  [nu=10] nu=10     seed=0 N=64 dt=3.13e-04 n=20000 blocks=400 | E[I]=+4.4364e-05 E[W1]=5.4616e-05 | theta=+0.8123 CI95=[+0.8119,+0.8126] | z_I=+0.2 z_W1=+0.2
